% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0802143	1	1	1	1.22344e-13	257.923	0
0.0802143	1	2	2	3.22564e-13	680.025	0
0.0802143	1	3	3	5.15503e-14	108.678	0
0.0812143	1	1	1	1.22349e-13	257.935	0
0.0812143	1	2	2	3.22547e-13	679.988	0
0.0812143	1	3	3	5.15456e-14	108.668	0
0.0822143	1	1	1	1.22355e-13	257.947	0
0.0822143	1	2	2	3.2253e-13	679.952	0
0.0822143	1	3	3	5.1541e-14	108.658	0
0.0832143	1	1	1	1.22361e-13	257.959	0
0.0832143	1	2	2	3.22512e-13	679.915	0
0.0832143	1	3	3	5.15363e-14	108.648	0
0.0842143	1	1	1	1.22366e-13	257.971	0
0.0842143	1	2	2	3.22495e-13	679.879	0
0.0842143	1	3	3	5.15317e-14	108.638	0
0.0852143	1	1	1	1.22372e-13	257.983	0
0.0852143	1	2	2	3.22478e-13	679.843	0
0.0852143	1	3	3	5.1527e-14	108.629	0
0.0862143	1	1	1	1.22378e-13	257.995	0
0.0862143	1	2	2	3.2246e-13	679.806	0
0.0862143	1	3	3	5.15224e-14	108.619	0
0.0872143	1	1	1	1.22383e-13	258.006	0
0.0872143	1	2	2	3.22443e-13	679.77	0
0.0872143	1	3	3	5.15177e-14	108.609	0
0.0882143	1	1	1	1.22389e-13	258.018	0
0.0882143	1	2	2	3.22426e-13	679.733	0
0.0882143	1	3	3	5.15131e-14	108.599	0
0.0892143	1	1	1	1.22394e-13	258.03	0
0.0892143	1	2	2	3.22408e-13	679.697	0
0.0892143	1	3	3	5.15084e-14	108.589	0
0.0902143	1	1	1	1.224e-13	258.042	0
0.0902143	1	2	2	3.22391e-13	679.66	0
0.0902143	1	3	3	5.15038e-14	108.58	0
0.0912143	1	1	1	1.22406e-13	258.054	0
0.0912143	1	2	2	3.22374e-13	679.624	0
0.0912143	1	3	3	5.14991e-14	108.57	0
0.0922143	1	1	1	1.22411e-13	258.066	0
0.0922143	1	2	2	3.22357e-13	679.587	0
0.0922143	1	3	3	5.14945e-14	108.56	0
0.0932143	1	1	1	1.22417e-13	258.078	0
0.0932143	1	2	2	3.22339e-13	679.551	0
0.0932143	1	3	3	5.14899e-14	108.55	0
0.0942143	1	1	1	1.22423e-13	258.09	0
0.0942143	1	2	2	3.22322e-13	679.514	0
0.0942143	1	3	3	5.14852e-14	108.54	0
0.0952143	1	1	1	1.22428e-13	258.102	0
0.0952143	1	2	2	3.22305e-13	679.478	0
0.0952143	1	3	3	5.14806e-14	108.531	0
0.0962143	1	1	1	1.22434e-13	258.114	0
0.0962143	1	2	2	3.22287e-13	679.441	0
0.0962143	1	3	3	5.14759e-14	108.521	0
0.0972143	1	1	1	1.2244e-13	258.126	0
0.0972143	1	2	2	3.2227e-13	679.405	0
0.0972143	1	3	3	5.14713e-14	108.511	0
0.0982143	1	1	1	1.22445e-13	258.137	0
0.0982143	1	2	2	3.22253e-13	679.368	0
0.0982143	1	3	3	5.14666e-14	108.501	0
0.0992143	1	1	1	1.22451e-13	258.149	0
0.0992143	1	2	2	3.22235e-13	679.332	0
0.0992143	1	3	3	5.1462e-14	108.491	0
0.100214	1	1	1	1.22457e-13	258.161	0
0.100214	1	2	2	3.22218e-13	679.295	0
0.100214	1	3	3	5.14573e-14	108.482	0
0.101214	1	1	1	1.22462e-13	258.173	0
0.101214	1	2	2	3.22201e-13	679.259	0
0.101214	1	3	3	5.14527e-14	108.472	0
0.102214	1	1	1	1.22468e-13	258.185	0
0.102214	1	2	2	3.22184e-13	679.223	0
0.102214	1	3	3	5.14481e-14	108.462	0
0.103214	1	1	1	1.22474e-13	258.197	0
0.103214	1	2	2	3.22166e-13	679.186	0
0.103214	1	3	3	5.14434e-14	108.452	0
