% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.721	1	1	1	5324.25	0
3.722	1	2	2	5323.79	0
3.723	1	3	3	5325.59	0
3.761	1	1	1	5324.25	0
3.762	1	2	2	5323.79	0
3.763	1	3	3	5325.6	0
3.801	1	1	1	5324.24	0
3.802	1	2	2	5323.78	0
3.803	1	3	3	5325.6	0
3.841	1	1	1	5324.24	0
3.842	1	2	2	5323.78	0
3.843	1	3	3	5325.6	0
3.881	1	1	1	5324.23	0
3.882	1	2	2	5323.77	0
3.883	1	3	3	5325.6	0
3.921	1	1	1	5324.23	0
3.922	1	2	2	5323.77	0
3.923	1	3	3	5325.6	0
3.961	1	1	1	5324.22	0
3.962	1	2	2	5323.76	0
3.963	1	3	3	5325.61	0
4.001	1	1	1	5324.61	0
4.002	1	2	2	5325.42	0
4.003	1	3	3	5324.58	0
4.041	1	1	1	5325.04	0
4.042	1	2	2	5326	0
4.043	1	3	3	5324.43	0
4.081	1	1	1	5325.04	0
4.082	1	2	2	5326.01	0
4.083	1	3	3	5324.43	0
4.121	1	1	1	5325.04	0
4.122	1	2	2	5326.01	0
4.123	1	3	3	5324.43	0
4.161	1	1	1	5325.03	0
4.162	1	2	2	5326.01	0
4.163	1	3	3	5324.43	0
4.201	1	1	1	5325.03	0
4.202	1	2	2	5326.02	0
4.203	1	3	3	5324.43	0
4.241	1	1	1	5325.03	0
4.242	1	2	2	5326.02	0
4.243	1	3	3	5324.43	0
4.281	1	1	1	5325.03	0
4.282	1	2	2	5326.03	0
4.283	1	3	3	5324.43	0
4.321	1	1	1	5325.03	0
4.322	1	2	2	5326.03	0
4.323	1	3	3	5324.43	0
4.361	1	1	1	5325.03	0
4.362	1	2	2	5326.03	0
4.363	1	3	3	5324.43	0
4.401	1	1	1	5325.03	0
4.402	1	2	2	5326.04	0
4.403	1	3	3	5324.43	0
4.441	1	1	1	5325.03	0
4.442	1	2	2	5326.04	0
4.443	1	3	3	5324.43	0
4.481	1	1	1	5325.03	0
4.482	1	2	2	5326.05	0
4.483	1	3	3	5324.43	0
4.521	1	1	1	5325.03	0
4.522	1	2	2	5326.05	0
4.523	1	3	3	5324.43	0
4.561	1	1	1	5325.03	0
4.562	1	2	2	5326.06	0
4.563	1	3	3	5324.42	0
4.601	1	1	1	5325.02	0
4.602	1	2	2	5326.06	0
4.603	1	3	3	5324.42	0
4.641	1	1	1	5325.02	0
4.642	1	2	2	5326.06	0
4.643	1	3	3	5324.42	0
4.681	1	1	1	5325.02	0
4.682	1	2	2	5326.07	0
4.683	1	3	3	5324.42	0
4.721	1	1	1	5325.02	0
4.722	1	2	2	5326.07	0
4.723	1	3	3	5324.42	0
4.761	1	1	1	5325.02	0
4.762	1	2	2	5326.08	0
4.763	1	3	3	5324.42	0
4.801	1	1	1	5325.02	0
4.802	1	2	2	5326.08	0
4.803	1	3	3	5324.42	0
4.841	1	1	1	5325.02	0
4.842	1	2	2	5326.09	0
4.843	1	3	3	5324.42	0
4.881	1	1	1	5325.02	0
4.882	1	2	2	5326.09	0
4.883	1	3	3	5324.42	0
4.921	1	1	1	5325.02	0
4.922	1	2	2	5326.1	0
4.923	1	3	3	5324.42	0
4.961	1	1	1	5325.02	0
4.962	1	2	2	5326.1	0
4.963	1	3	3	5324.42	0
5.001	1	1	1	5325.01	0
5.002	1	2	2	5326.1	0
5.003	1	3	3	5324.42	0
5.041	1	1	1	5325.01	0
5.042	1	2	2	5326.11	0
5.043	1	3	3	5324.42	0
5.081	1	1	1	5325.01	0
5.082	1	2	2	5326.11	0
5.083	1	3	3	5324.42	0
5.121	1	1	1	5325.01	0
5.122	1	2	2	5326.12	0
5.123	1	3	3	5324.42	0
5.161	1	1	1	5325.01	0
5.162	1	2	2	5326.12	0
5.163	1	3	3	5324.42	0
5.201	1	1	1	5325.01	0
5.202	1	2	2	5326.13	0
5.203	1	3	3	5324.42	0
5.241	1	1	1	5325.01	0
5.242	1	2	2	5326.13	0
5.243	1	3	3	5324.42	0
5.281	1	1	1	5325.01	0
5.282	1	2	2	5326.14	0
5.283	1	3	3	5324.42	0
5.321	1	1	1	5325.01	0
5.322	1	2	2	5326.14	0
5.323	1	3	3	5324.42	0
5.361	1	1	1	5325	0
5.362	1	2	2	5326.15	0
5.363	1	3	3	5324.41	0
5.401	1	1	1	5325	0
5.402	1	2	2	5326.15	0
5.403	1	3	3	5324.41	0
5.441	1	1	1	5325	0
5.442	1	2	2	5326.16	0
5.443	1	3	3	5324.41	0
5.481	1	1	1	5325	0
5.482	1	2	2	5326.16	0
5.483	1	3	3	5324.41	0
5.521	1	1	1	5325	0
5.522	1	2	2	5326.17	0
5.523	1	3	3	5324.41	0
5.561	1	1	1	5325	0
5.562	1	2	2	5326.17	0
5.563	1	3	3	5324.41	0
5.601	1	1	1	5325	0
5.602	1	2	2	5326.18	0
5.603	1	3	3	5324.41	0
5.641	1	1	1	5325	0
5.642	1	2	2	5326.18	0
5.643	1	3	3	5324.41	0
5.681	1	1	1	5325	0
5.682	1	2	2	5326.19	0
5.683	1	3	3	5324.41	0
5.721	1	1	1	5324.99	0
5.722	1	2	2	5326.19	0
5.723	1	3	3	5324.41	0
5.761	1	1	1	5324.99	0
5.762	1	2	2	5326.2	0
5.763	1	3	3	5324.41	0
5.801	1	1	1	5324.99	0
5.802	1	2	2	5326.2	0
5.803	1	3	3	5324.41	0
5.841	1	1	1	5324.99	0
5.842	1	2	2	5326.21	0
5.843	1	3	3	5324.41	0
5.881	1	1	1	5324.99	0
5.882	1	2	2	5326.21	0
5.883	1	3	3	5324.41	0
5.921	1	1	1	5324.99	0
5.922	1	2	2	5326.22	0
5.923	1	3	3	5324.41	0
5.961	1	1	1	5324.99	0
5.962	1	2	2	5326.22	0
5.963	1	3	3	5324.41	0
6.001	1	1	1	5324.97	0
6.002	1	2	2	5325.06	0
6.003	1	3	3	5324.25	0
6.041	1	1	1	5324.95	0
6.042	1	2	2	5324.64	0
6.043	1	3	3	5324.23	0
6.081	1	1	1	5324.95	0
6.082	1	2	2	5324.63	0
6.083	1	3	3	5324.23	0
6.121	1	1	1	5324.95	0
6.122	1	2	2	5324.63	0
6.123	1	3	3	5324.23	0
6.161	1	1	1	5324.95	0
6.162	1	2	2	5324.62	0
6.163	1	3	3	5324.23	0
6.201	1	1	1	5324.95	0
6.202	1	2	2	5324.61	0
6.203	1	3	3	5324.23	0
6.241	1	1	1	5324.95	0
6.242	1	2	2	5324.6	0
6.243	1	3	3	5324.23	0
6.281	1	1	1	5324.96	0
6.282	1	2	2	5324.59	0
6.283	1	3	3	5324.23	0
6.321	1	1	1	5324.96	0
6.322	1	2	2	5324.58	0
6.323	1	3	3	5324.23	0
6.361	1	1	1	5324.96	0
6.362	1	2	2	5324.57	0
